NAME,ISACTIVE,ISDEFAULT,MONDAYSTARTTIME,MONDAYENDTIME,TUESDAYSTARTTIME,TUESDAYENDTIME,WEDNESDAYSTARTTIME,WEDNESDAYENDTIME,THURSDAYSTARTTIME,THURSDAYENDTIME,FRIDAYSTARTTIME,FRIDAYENDTIME,TIMEZONESIDKEY
GMT+08:00  Australian Western Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Australia/Perth 
GMT+07:00  Indochina Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Bangkok 
GMT+07:00  Indochina Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Ho_Chi_Minh 
GMT+07:00  Western Indonesia Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Jakarta 
GMT+06:30  Myanmar Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Rangoon 
GMT+06:00  Bangladesh Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Dhaka 
GMT+06:00  Yekaterinburg Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Yekaterinburg 
GMT+05:45  Nepal Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Kathmandu 
GMT+05:30  India Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Colombo 
GMT+05:30  India Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Kolkata 
GMT+05:00  Pakistan Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Karachi 
GMT+05:00  Uzbekistan Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Tashkent 
